id,church_name,former_denomination,address,city,local_authority,region,nation,latitude,longitude,conversion_type,conversion_subtype,current_name,year_converted,decade,source,source_url,confidence_score,notes
,,,"Kings Place, Ramsgate, Kent, CT11 8NN, England",Ramsgate,,,,51.333328,1.420299,arts_culture,theatre,King's Theatre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q31940809,0.95,Wikidata: http://www.wikidata.org/entity/Q31940809
,,,,Blairgowrie and Rattray,,,,56.5935,-3.34209,unknown,unknown,"Free Church, James Street, Blairgowrie",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17831304,0.95,Wikidata: http://www.wikidata.org/entity/Q17831304
,,,"Gelliwastad Road, Pontypridd, Mid Glamorgan, CF37 2DP, Wales",Pontypridd,,,,51.604316,-3.3412317,unknown,unknown,Muni Arts Centre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q29501828,0.95,Wikidata: http://www.wikidata.org/entity/Q29501828
,,,,Haversham-cum-Little Linford,,,,52.076693,-0.782105,unknown,unknown,Ruins of Church of St Peter,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26418248,0.95,Wikidata: http://www.wikidata.org/entity/Q26418248
,,,,Cheshire West and Chester,,,,53.196709,-2.882812,residential,residential_general,"St Barnabas' Church, Chester",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/St_Barnabas%27_Church,_Chester",0.95,Wikidata: http://www.wikidata.org/entity/Q16246210
,,,,Manorbier,,,,51.655657,-4.810784,unknown,unknown,Jameston Community Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q99452233,0.95,Wikidata: http://www.wikidata.org/entity/Q99452233
,,,"Lambeth Palace Road, London SE1 7LB",London Borough of Lambeth,,,,51.495,-0.1202,arts_culture,museum,Garden Museum,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Garden_Museum,0.95,Wikidata: http://www.wikidata.org/entity/Q15221398
,,,,Liverpool,,,,53.428172,-2.958273,hospitality,pub,The Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q56181853,0.95,Wikidata: http://www.wikidata.org/entity/Q56181853
,,,"11, Castle Street, Reading, Berkshire, RG1",Reading,,,,51.45348,-0.97431,hospitality,pub,BrewDog Reading,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26407285,0.95,Wikidata: http://www.wikidata.org/entity/Q26407285
,,,,Longtown,,,,51.955802,-2.988569,residential,residential_general,Church of St Peter,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26347201,0.95,Wikidata: http://www.wikidata.org/entity/Q26347201
,,,,Tunbridge Wells,,,,51.1287,0.2616,commercial,gym,Vale Royal Methodist Church,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Vale_Royal_Methodist_Church,0.95,Wikidata: http://www.wikidata.org/entity/Q113245647
,,,"Lower Green Road, Pembury, Kent TN2 4DZ",Pembury,,,,51.14408,0.32264,unknown,unknown,St Anselm's Catholic Church,,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/St_Anselm%27s_Church,_Pembury",0.95,Wikidata: http://www.wikidata.org/entity/Q96419404
,,,,Oxford,,,,51.749406,-1.271317,unknown,unknown,Osney Abbey,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Osney_Abbey,0.95,Wikidata: http://www.wikidata.org/entity/Q7107284
,,,,Pentre,,,,51.647513,-3.4874788,unknown,unknown,Hebron Welsh Baptist Chapel,,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Hebron_Chapel,_Ton_Pentre",0.95,Wikidata: http://www.wikidata.org/entity/Q16993869
,,,,Foxhall,,,,52.04682,1.25022,hospitality,nightclub,All Saints Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q115609483,0.95,Wikidata: http://www.wikidata.org/entity/Q115609483
,,,,Tamworth,,,,52.5961,-1.68779,unknown,unknown,Dosthill Sunday School and Parish Room,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17532058,0.95,Wikidata: http://www.wikidata.org/entity/Q17532058
,,,,Middlesbrough,,,,54.5803,-1.2368,unknown,unknown,Cathedral Church of Our Lady of Perpetual Succour,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q81807233,0.95,Wikidata: http://www.wikidata.org/entity/Q81807233
,,,,London Borough of Southwark,,,,51.5019,-0.0783333,unknown,unknown,St John Horsleydown,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/St_John_Horsleydown,0.95,Wikidata: http://www.wikidata.org/entity/Q7593659
,,,"34 High Street, London, W3 6LJ, England",London Borough of Ealing,,,,51.506892,-0.265212,arts_culture,theatre,Dominion Cinema,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26664901,0.95,Wikidata: http://www.wikidata.org/entity/Q26664901
,,,,Great Budworth,,,,53.2945,-2.5047,residential,residential_general,"Methodist Church, Great Budworth",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Methodist_Church,_Great_Budworth",0.95,Wikidata: http://www.wikidata.org/entity/Q6823745
,,,,Wirral,,,,53.38953,-3.01124,unknown,unknown,Remains of Church of St Mary,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q69558641,0.95,Wikidata: http://www.wikidata.org/entity/Q69558641
,,,,New Leake,,,,53.11344,0.101243,unknown,unknown,"Church of St Paul, Eastville",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26493655,0.95,Wikidata: http://www.wikidata.org/entity/Q26493655
,,,,Brighton and Hove,,,,50.8266,-0.153018,unknown,unknown,"St Stephen's Church, Brighton",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/St_Stephen%27s_Church,_Brighton",0.95,Wikidata: http://www.wikidata.org/entity/Q7595471
,,,,Nantwich,,,,53.0671,-2.5193,residential,residential_general,"Congregational Chapel, Nantwich",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Congregational_Chapel,_Nantwich",0.95,Wikidata: http://www.wikidata.org/entity/Q5160706
,,,,City of London,,,,51.5166,-0.0941096,unknown,unknown,"St Alban, Wood Street",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/St_Alban,_Wood_Street",0.95,Wikidata: http://www.wikidata.org/entity/Q7592245
,,,,Sheffield,,,,53.366752,-1.474278,residential,residential_general,St Barnabas House,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26546680,0.95,Wikidata: http://www.wikidata.org/entity/Q26546680
,,,,South Georgia and the South Sandwich Islands,,,,-54.28,-36.51027778,unknown,unknown,Norwegian Anglican Church,,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Norwegian_Anglican_Church,_Grytviken",0.95,Wikidata: http://www.wikidata.org/entity/Q3281864
,,,,London Borough of Croydon,,,,51.386748,-0.110376,unknown,unknown,Oshwal Mahajanwadi,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26351431,0.95,Wikidata: http://www.wikidata.org/entity/Q26351431
,,,,Wadsworth,,,,53.763165,-2.005326,residential,residential_general,Crimsworth Methodist Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26521074,0.95,Wikidata: http://www.wikidata.org/entity/Q26521074
,,,"12 Old Orchard Street, Bath, Avon, BA1 1JU, England",Bath and North East Somerset,,,,51.380095,-2.357813,arts_culture,theatre,Old Orchard Street Theatre,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Old_Orchard_Street_Theatre,0.95,Wikidata: http://www.wikidata.org/entity/Q7084669
,,,,Oundle,,,,52.48113831,-0.472465858,arts_culture,theatre,Rodolphe Stahl Theatre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26291610,0.95,Wikidata: http://www.wikidata.org/entity/Q26291610
,,,,Cold Hanworth,,,,53.335927,-0.446962,residential,residential_general,Old Church House,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26641693,0.95,Wikidata: http://www.wikidata.org/entity/Q26641693
,,,,Wareham,,,,50.685341,-2.110189,hospitality,nightclub,Wareham Conservative Club,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26413251,0.95,Wikidata: http://www.wikidata.org/entity/Q26413251
,,,,,,,,51.061,-1.314,unknown,unknown,Old Minster,,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Old_Minster,_Winchester",0.95,Wikidata: http://www.wikidata.org/entity/Q2193676
,,,"Church Leeds, 177 Woodhouse Lane, Woodhouse, Leeds, LS2 3AR",Leeds,,,,53.80656,-1.551036,hospitality,nightclub,Trinity Congregational Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26547231,0.95,Wikidata: http://www.wikidata.org/entity/Q26547231
,,,,High Peak,,,,53.444501,-1.955156,residential,residential_general,Former Methodist Chapel and Sunday school with attached walls and railings,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26664141,0.95,Wikidata: http://www.wikidata.org/entity/Q26664141
,,,,City of Edinburgh,,,,55.9523,-3.10845,unknown,unknown,Portobello Old Parish Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17807329,0.95,Wikidata: http://www.wikidata.org/entity/Q17807329
,,,,Liverpool,,,,53.42454,-2.95536,mosque,mosque_general,Baitul Lateef Mosque,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Baitul_Lateef_Mosque,0.95,Wikidata: http://www.wikidata.org/entity/Q15272512
,,,,Foscott,,,,52.0157,-0.956927,residential,residential_general,St Leonard's,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17536112,0.95,Wikidata: http://www.wikidata.org/entity/Q17536112
,,,,High Peak,,,,53.441227,-1.949921,commercial,gym,Bodycheck,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26664149,0.95,Wikidata: http://www.wikidata.org/entity/Q26664149
,,,,Exeter,,,,50.7224,-3.5313,unknown,unknown,St. Mary Major,,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Church_of_St_Mary_Major,_Exeter",0.95,Wikidata: http://www.wikidata.org/entity/Q20968752
,,,,Bath and North East Somerset,,,,51.376478,-2.358489,unknown,unknown,Widcombe Community Centre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26673914,0.95,Wikidata: http://www.wikidata.org/entity/Q26673914
,,,,Oldham,,,,53.537101476,-2.131030619,unknown,unknown,St John's Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q130474903,0.95,Wikidata: http://www.wikidata.org/entity/Q130474903
,,,,Bembridge,,,,50.691768,-1.091254,unknown,unknown,The Old Chapel,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137803179,0.95,Wikidata: http://www.wikidata.org/entity/Q137803179
,,,,Blackburn with Darwen,,,,53.7447,-2.4868,unknown,unknown,"St Peter's Church, Blackburn",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q80425869,0.95,Wikidata: http://www.wikidata.org/entity/Q80425869
,,,,City of Portsmouth,,,,50.8138552,-1.0801929,hospitality,pub,The Grapes,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q136213365,0.95,Wikidata: http://www.wikidata.org/entity/Q136213365
,,,,Salisbury,,,,51.0689501,-1.7986393,hospitality,pub,The Bridge Tap,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q136213534,0.95,Wikidata: http://www.wikidata.org/entity/Q136213534
,,,,Wymondham,,,,52.571,1.11035,unknown,unknown,Becket's Chapel,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17537633,0.95,Wikidata: http://www.wikidata.org/entity/Q17537633
,,,,Sinnington,,,,54.2652,-0.856039,residential,residential_general,Barn approximately 10 metres north east of The Hall,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Sinnington_Grange_Hall,0.95,Wikidata: http://www.wikidata.org/entity/Q17526034
,,,,Leeds,,,,53.799247,-1.537738,commercial,office,Templar House,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26655884,0.95,Wikidata: http://www.wikidata.org/entity/Q26655884
,,,,Sibton,,,,52.27338447,1.459475546,education,school,Sibton Nursery School,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q124691988,0.95,Wikidata: http://www.wikidata.org/entity/Q124691988
,,,,Hellifield,,,,54.002355503,-2.221437692,residential,residential_general,The Old Chapel,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q122972521,0.95,Wikidata: http://www.wikidata.org/entity/Q122972521
,,,,Southend-on-Sea,,,,51.550429,0.730204,unknown,unknown,St Edmund's Community Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137834709,0.95,Wikidata: http://www.wikidata.org/entity/Q137834709
,,,,Stockport,,,,53.38871,-2.05983,unknown,unknown,Remains of Church of All Saints,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q79642438,0.95,Wikidata: http://www.wikidata.org/entity/Q79642438
,,,,Machynlleth,,,,52.59065,-3.8469711,residential,residential_general,English Methodist Chapel,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q29487348,0.95,Wikidata: http://www.wikidata.org/entity/Q29487348
,,,,Marlborough,,,,51.420719,-1.728735,arts_culture,theatre,Parade Cinema,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26562852,0.95,Wikidata: http://www.wikidata.org/entity/Q26562852
,,,,Nayland-with-Wissington,,,,51.9695,0.874466,unknown,unknown,Court Knoll,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17646871,0.95,Wikidata: http://www.wikidata.org/entity/Q17646871
,,,,Treverbyn,,,,50.368162,-4.806379,residential,residential_general,The Chapel Guest House,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q111874628,0.95,Wikidata: http://www.wikidata.org/entity/Q111874628
,,,,Cheshire West and Chester,,,,53.188534,-2.889379,hospitality,restaurant,Opera Grill,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26656961,0.95,Wikidata: http://www.wikidata.org/entity/Q26656961
,,,,Leeds,,,,53.828234,-1.581889,commercial,office,"1A, Moor Road",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26656008,0.95,Wikidata: http://www.wikidata.org/entity/Q26656008
,,,,,,,,51.5468,-0.0507,unknown,unknown,Gravel Pit Chapel,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Gravel_Pit_Chapel,0.95,Wikidata: http://www.wikidata.org/entity/Q16839942
,,,,Queen's Park,,,,51.52878,-0.210308,unknown,unknown,St Jude's Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137832174,0.95,Wikidata: http://www.wikidata.org/entity/Q137832174
,,,,Blackburn with Darwen,,,,53.7456,-2.4864,unknown,unknown,Chapel Street Congregational Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q80427254,0.95,Wikidata: http://www.wikidata.org/entity/Q80427254
,,,,Reading,,,,51.482665,-0.969648,unknown,unknown,St Barnabas Church Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q135883629,0.95,Wikidata: http://www.wikidata.org/entity/Q135883629
,,,,City of Plymouth,,,,50.369762,-4.173755,commercial,shop,"8, George Street",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26605667,0.95,Wikidata: http://www.wikidata.org/entity/Q26605667
,,,,Dacorum,,,,51.738045,-0.470116,unknown,unknown,Apsley Community Centre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844762,0.95,Wikidata: http://www.wikidata.org/entity/Q137844762
,,,,Hormead,,,,51.949443,0.02164,residential,residential_general,Brew House at Hare Street House,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26647764,0.95,Wikidata: http://www.wikidata.org/entity/Q26647764
,,,,Erewash,,,,52.894105,-1.27493,unknown,unknown,"St James' Church, Long Eaton",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/St_James%27_Church,_Long_Eaton",0.95,Wikidata: http://www.wikidata.org/entity/Q85803015
,,,,Trowbridge,,,,51.32216,-2.21079,unknown,unknown,Conigre Unitarian Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q76751630,0.95,Wikidata: http://www.wikidata.org/entity/Q76751630
,,,,High Peak,,,,53.446444,-1.938923,residential,residential_general,Premises occupied by Helme Footwear,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26664124,0.95,Wikidata: http://www.wikidata.org/entity/Q26664124
,,,,Didcot,,,,51.605438,-1.236526,unknown,unknown,Northbourne Centre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844069,0.95,Wikidata: http://www.wikidata.org/entity/Q137844069
,,,,High Peak,,,,53.446588,-1.938848,education,school,Northern Glass Works with attached gates and railings,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26664127,0.95,Wikidata: http://www.wikidata.org/entity/Q26664127
,,,"Burton Bradstock Library, The Old Wesleyan Chapel, Burton Bradstock, Bridport, DT6 4QR",Burton Bradstock,,,,50.703374,-2.725969,hospitality,pub,Burton Bradstock Library,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26577093,0.95,Wikidata: http://www.wikidata.org/entity/Q26577093
,,,,Chignall,,,,51.7608,0.417732,residential,residential_general,Former Church of St James,,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/St_James%27_Church,_Chignal_St_James",0.95,Wikidata: http://www.wikidata.org/entity/Q17545056
,,,,London Borough of Sutton,,,,51.359272,-0.142157,residential,residential_general,Castlemead Court,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137782202,0.95,Wikidata: http://www.wikidata.org/entity/Q137782202
,,,,Hawes,,,,54.299206,-2.198335,unknown,unknown,Village Institute,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Gayle_Village_Institute,0.95,Wikidata: http://www.wikidata.org/entity/Q26603163
,,,"Whipton Community Centre, Whipton Village Road, Exeter",Exeter,,,,50.73227238,-3.49313118,unknown,unknown,Whipton Community Centre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q93286790,0.95,Wikidata: http://www.wikidata.org/entity/Q93286790
,,,,Bexhill-on-Sea,,,,50.845933,0.4686,hospitality,restaurant,The Chilli Tree,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844148,0.95,Wikidata: http://www.wikidata.org/entity/Q137844148
,,,,Sandleheath,,,,50.931806,-1.817979,unknown,unknown,Sandleheath Village Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137810112,0.95,Wikidata: http://www.wikidata.org/entity/Q137810112
,,,,Oxted,,,,51.243397,0.00282,unknown,unknown,St Agatha's Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137842919,0.95,Wikidata: http://www.wikidata.org/entity/Q137842919
,,,,City of Nottingham,,,,52.95217454,-1.141592719,education,school,St Mary's School,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Stoney_Street_Baptist_Church,0.95,Wikidata: http://www.wikidata.org/entity/Q7619427
,,,,Rugby,,,,52.374769,-1.248005,unknown,unknown,Pakistani Community Centre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137842957,0.95,Wikidata: http://www.wikidata.org/entity/Q137842957
,,,,Netley Marsh,,,,50.909068,-1.554361,unknown,unknown,Bartley Village Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844752,0.95,Wikidata: http://www.wikidata.org/entity/Q137844752
,,,,Painswick,,,,51.786048,-2.192416,unknown,unknown,Ebenezer Chapel,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26624648,0.95,Wikidata: http://www.wikidata.org/entity/Q26624648
,,,,City of Westminster,,,,51.52905,-0.19869,residential,residential_general,Simon Court,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137776835,0.95,Wikidata: http://www.wikidata.org/entity/Q137776835
,,,,Trafford,,,,53.402599,-2.331751,unknown,unknown,Holy Cross Church Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844124,0.95,Wikidata: http://www.wikidata.org/entity/Q137844124
,,,,Barnsley,,,,53.5507,-1.4852,unknown,unknown,Church of St George,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q80346784,0.95,Wikidata: http://www.wikidata.org/entity/Q80346784
,,,,Sefton,,,,53.47202,-3.02037,residential,residential_general,Welsh Presbyterian Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137649986,0.95,Wikidata: http://www.wikidata.org/entity/Q137649986
,,,,Portland,,,,50.56106,-2.447714,commercial,shop,Conjurer's Lodge,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Conjurer%27s_Lodge,0.95,Wikidata: http://www.wikidata.org/entity/Q19587170
,,,,Slaugham,,,,51.08306,-0.202962,unknown,unknown,Baron Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844498,0.95,Wikidata: http://www.wikidata.org/entity/Q137844498
,,,,Hutton Henry and Station Town,,,,54.719062,-1.343371,unknown,unknown,St Francis Village Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137834428,0.95,Wikidata: http://www.wikidata.org/entity/Q137834428
,,,,"Bournemouth, Christchurch and Poole",,,,50.733133,-1.97754,education,library,Oakdale Library,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137842990,0.95,Wikidata: http://www.wikidata.org/entity/Q137842990
,,,,Delamere,,,,53.197195,-2.701547,residential,residential_general,Methodist Chapel,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26615049,0.95,Wikidata: http://www.wikidata.org/entity/Q26615049
