id,church_name,former_denomination,address,city,local_authority,region,nation,latitude,longitude,conversion_type,conversion_subtype,current_name,year_converted,decade,sale_date,sale_price,use_history,buyer_name,company_number,company_type,sic_code,incorporated_country,ofsted_urn,cqc_id,inspection_rating,source,source_url,confidence_score,confidence_tier,notes
,,,,,,,,51.3910903,0.5015162,unknown,unknown,Bridge Trust Historical Chapel,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/3675211325,0.7,,"OSM node/3675211325 | tags: {'building': 'chapel', 'name': 'Bridge Trust Historical Chapel'}"
,,,,,,,,54.4948963,-3.5917613,education,school,St Bees School chapel,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/3851879474,0.7,,"OSM node/3851879474 | tags: {'building': 'chapel', 'name': 'St Bees School chapel'}"
,,,,,,,,52.6951466,-3.5025425,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/4086537010,0.7,,OSM node/4086537010 | tags: {'building': 'chapel'}
,Congregational Chapel,,,,,,,57.6688191,-2.4932363,commercial,retail_shop,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/4281339083,0.7,,"OSM node/4281339083 | tags: {'building': 'church', 'old_name': 'Congregational Chapel', 'shop': 'carpet'}"
,,,,,,,,53.6300185,-1.6501406,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/5088324739,0.7,,"OSM node/5088324739 | tags: {'building': 'chapel', 'source': 'Bing'}"
,,,,,,,,51.4944141,-0.2850187,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/6025036487,0.7,,OSM node/6025036487 | tags: {'building': 'chapel'}
,,,,,,,,51.6265359,-0.0996494,unknown,unknown,Winchmore Hill Methodist Church,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/6301711557,0.7,,"OSM node/6301711557 | tags: {'building': 'church', 'name': 'Winchmore Hill Methodist Church'}"
,,,,,,,,52.1271968,-1.4626931,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/8403042605,0.7,,OSM node/8403042605 | tags: {'building': 'chapel'}
,,,,,,,,50.8338704,-1.9950249,unknown,unknown,St. Kenelm,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/8491688745,0.7,,"OSM node/8491688745 | tags: {'building': 'church', 'name': 'St. Kenelm', 'wikidata': 'Q26590894'}"
,,,,,,,,50.8349722,-0.1146912,unknown,unknown,Woodvale North Chapel,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/8938055379,0.7,,"OSM node/8938055379 | tags: {'building': 'chapel', 'name': 'Woodvale North Chapel'}"
,,,,,,,,50.8347944,-0.1148074,unknown,unknown,Woodvale South Chapel,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/8938071713,0.7,,"OSM node/8938071713 | tags: {'building': 'chapel', 'name': 'Woodvale South Chapel'}"
,,,Creg Willeys Hill,St Johns,,,,54.2315119,-4.6170178,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/10740266980,0.7,,"OSM node/10740266980 | tags: {'addr:city': 'St Johns', 'addr:country': 'IM', 'addr:housename': 'Lambfell Chapel', 'addr:place': 'Lambfell Moar', 'addr:postcode': 'IM4 3NR', 'addr:street': 'Creg Willeys Hill'}"
,,,,,,,,51.811976,-1.5552162,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/10771953276,0.7,,OSM node/10771953276 | tags: {'building': 'church'}
,The Salvation Army - Eastbourne Old Town,,33 Royal Sussex Crescent,Eastbourne,,,,50.779741,0.2502608,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/11331940342,0.7,,"OSM node/11331940342 | tags: {'addr:city': 'Eastbourne', 'addr:country': 'GB', 'addr:housenumber': '33', 'addr:postcode': 'BN20 8RG', 'addr:street': 'Royal Sussex Crescent', 'building': 'church'}"
,,,,,,,,56.4800685,-2.9434254,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/12512160467,0.7,,OSM node/12512160467 | tags: {'building': 'church'}
,Earl of Leicester's Church,,,,,,,53.182152,-3.4189314,unknown,unknown,Eglwys Iarll Leicester,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/12556674734,0.7,,"OSM node/12556674734 | tags: {'building': 'church', 'heritage:operator': 'Cadw', 'historic': 'ruins', 'name': 'Eglwys Iarll Leicester', 'name:cy': 'Eglwys Iarll Leicester', 'name:en': ""Earl of Leicester's Church""}"
,,,,,,,,50.7894375,-0.6860368,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/node/13087009792,0.7,,"OSM node/13087009792 | tags: {'building': 'chapel', 'historic': 'chapel'}"
,,,,Leeds,,,,53.8086412,-1.5566335,unknown,unknown,Mausoleum,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/6962427,0.7,,"OSM way/6962427 | tags: {'addr:city': 'Leeds', 'addr:postcode': 'LS2 9JT', 'building': 'chapel', 'name': 'Mausoleum', 'note': 'chapel for cemetary, disused, now used as a store by the university', 'ref:GB:uprn': '72748991'}"
