id,church_name,former_denomination,city,local_authority,region,nation,latitude,longitude,conversion_type,conversion_subtype,current_name,year_converted,decade,source,confidence_tier
2ffc9f3a9259,,,London Borough Of Southwark,,,,51.5019,-0.0783333,unknown,unknown,St John Horsleydown,,,wikidata_formerly_church,high
268d2ce696b4,,,London Borough Of Ealing,,,,51.506892,-0.265212,arts_culture,theatre,Dominion Cinema,,,wikidata_formerly_church,high
024acb066b4b,,,Great Budworth,,,,53.2945,-2.5047,residential,residential_general,"Methodist Church, Great Budworth",,,wikidata_formerly_church,high
1c61b1bd5b49,,,Wirral,,,,53.38953,-3.01124,unknown,unknown,Remains of Church of St Mary,,,wikidata_formerly_church,high
4fb333dfb900,,,New Leake,,,,53.11344,0.101243,unknown,unknown,"Church of St Paul, Eastville",,,wikidata_formerly_church,high
899fbf336258,,,Nantwich,,,,53.0671,-2.5193,residential,residential_general,"Congregational Chapel, Nantwich",,,wikidata_formerly_church,high
0ef618be5591,,,Reading,,,,51.45348,-0.97431,hospitality,pub,BrewDog Reading,,,wikidata_formerly_church,high
2d0fdc844a2c,,,City Of London,,,,51.5166,-0.0941096,unknown,unknown,"St Alban, Wood Street",,,wikidata_formerly_church,high
fafd7e393328,,,Sheffield,,,,53.366752,-1.474278,residential,residential_general,St Barnabas House,,,wikidata_formerly_church,high
82b4fd59570f,,,South Georgia And The South Sandwich Islands,,,,,,unknown,unknown,Norwegian Anglican Church,,,wikidata_formerly_church,high
a02dfcb8bf2c,,,London Borough Of Croydon,,,,51.386748,-0.110376,unknown,unknown,Oshwal Mahajanwadi,,,wikidata_formerly_church,high
4c44b8174190,,,Wadsworth,,,,53.763165,-2.005326,residential,residential_general,Crimsworth Methodist Church,,,wikidata_formerly_church,high
0db283771d3f,,,Bath And North East Somerset,,,,51.380095,-2.357813,arts_culture,theatre,Old Orchard Street Theatre,,,wikidata_formerly_church,high
9cd89b5c01aa,,,Cold Hanworth,,,,53.335927,-0.446962,residential,residential_general,Old Church House,,,wikidata_formerly_church,high
51cb1099ba28,,,,,,,51.061,-1.314,unknown,unknown,Old Minster,,,wikidata_formerly_church,high
4eb6d1eccd1a,,,Leeds,,,,53.80656,-1.551036,hospitality,nightclub,Trinity Congregational Church,,,wikidata_formerly_church,high
dca83b53e354,,,City Of Edinburgh,,,,55.9523,-3.10845,unknown,unknown,Portobello Old Parish Church,,,wikidata_formerly_church,high
e14f89c5e099,,,Liverpool,,,,53.42454,-2.95536,mosque,mosque_general,Baitul Lateef Mosque,,,wikidata_formerly_church,high
9e97adc39a0a,,,Foscott,,,,52.0157,-0.956927,residential,residential_general,St Leonard's,,,wikidata_formerly_church,high
bb8642b6f684,,,High Peak,,,,53.444501,-1.955156,residential,residential_general,Former Methodist Chapel and Sunday school with attached walls and railings,,,wikidata_formerly_church,high
a3ef9cc459ed,,,Exeter,,,,50.7224,-3.5313,unknown,unknown,St. Mary Major,,,wikidata_formerly_church,high
417bdc009f85,,,Bath And North East Somerset,,,,51.376478,-2.358489,unknown,unknown,Widcombe Community Centre,,,wikidata_formerly_church,high
f71479efd816,,,Oldham,,,,53.537101476,-2.131030619,unknown,unknown,St John's Church,,,wikidata_formerly_church,high
cf30e8327103,,,Bembridge,,,,50.691768,-1.091254,unknown,unknown,The Old Chapel,,,wikidata_formerly_church,high
ce3376e62ae8,,,Blackburn With Darwen,,,,53.7447,-2.4868,unknown,unknown,"St Peter's Church, Blackburn",,,wikidata_formerly_church,high
ea306de2fb11,,,City Of Portsmouth,,,,50.8138552,-1.0801929,hospitality,pub,The Grapes,,,wikidata_formerly_church,high
3b41fbe250d4,,,Wymondham,,,,52.571,1.11035,unknown,unknown,Becket's Chapel,,,wikidata_formerly_church,high
99403f51e5c5,,,Didcot,,,,51.605438,-1.236526,unknown,unknown,Northbourne Centre,,,wikidata_formerly_church,high
d3c517da8975,,,Sinnington,,,,54.2652,-0.856039,residential,residential_general,Barn approximately 10 metres north east of The Hall,,,wikidata_formerly_church,high
41e3fcd6698b,,,Christchurch,,,,50.7357,-1.767128,unknown,unknown,Bridge Furnishing Factory,,,wikidata_formerly_church,high
9edbc36acefc,,,Bodmin,,,,50.471079,-4.723442,hospitality,pub,Methodist Chapel,,,wikidata_formerly_church,high
4cdd358ece5b,,,Romsey Extra,,,,50.959044,-1.488455,arts_culture,arts_centre,Mountbatten Gallery,,,wikidata_formerly_church,high
c18c2b8f5fd1,,,Rochdale,,,,53.620784,-2.150327,unknown,unknown,E Pitio Plastics,,,wikidata_formerly_church,high
6559bbdb7d5b,,,Sibton,,,,52.27338447,1.459475546,education,school,Sibton Nursery School,,,wikidata_formerly_church,high
d4fc98b3b9f4,,,Hellifield,,,,54.002355503,-2.221437692,residential,residential_general,The Old Chapel,,,wikidata_formerly_church,high
d846328ecb44,,,Bexhill-On-Sea,,,,50.845933,0.4686,hospitality,restaurant,The Chilli Tree,,,wikidata_formerly_church,high
f546fc212924,,,Stockport,,,,53.38871,-2.05983,unknown,unknown,Remains of Church of All Saints,,,wikidata_formerly_church,high
37dfd96bcc55,,,Manchester,,,,53.490086,-2.242102,other_faith,jewish_synagogue,Central Synagogue,,,wikidata_formerly_church,high
ee6f5fffd177,,,Rugby,,,,52.374769,-1.248005,unknown,unknown,Pakistani Community Centre,,,wikidata_formerly_church,high
f4d727c81583,,,Marlborough,,,,51.420719,-1.728735,arts_culture,theatre,Parade Cinema,,,wikidata_formerly_church,high
d201b6047d86,,,Netley Marsh,,,,50.909068,-1.554361,unknown,unknown,Bartley Village Hall,,,wikidata_formerly_church,high
4d9188abe4a4,,,Nayland-With-Wissington,,,,51.9695,0.874466,unknown,unknown,Court Knoll,,,wikidata_formerly_church,high
f6e9e2342f26,,,Treverbyn,,,,50.368162,-4.806379,residential,residential_general,The Chapel Guest House,,,wikidata_formerly_church,high
275effb5ce9e,,,Trafford,,,,53.402599,-2.331751,unknown,unknown,Holy Cross Church Hall,,,wikidata_formerly_church,high
2ab29d482791,,,Cotford St Luke,,,,51.03949818,-3.188179177,hospitality,pub,The Chapel,,,wikidata_formerly_church,high
6210e7474706,,,Hutton Henry And Station Town,,,,54.719062,-1.343371,unknown,unknown,St Francis Village Hall,,,wikidata_formerly_church,high
6f3af8c648b2,,,,,,,51.5468,-0.0507,unknown,unknown,Gravel Pit Chapel,,,wikidata_formerly_church,high
dbe53ab0cb2a,,,Salisbury,,,,51.0689501,-1.7986393,hospitality,pub,The Bridge Tap,,,wikidata_formerly_church,high
296dab8e7d14,,,Slaugham,,,,51.08306,-0.202962,unknown,unknown,Baron Hall,,,wikidata_formerly_church,high
6370b827f3c1,,,Reading,,,,51.482665,-0.969648,unknown,unknown,St Barnabas Church Hall,,,wikidata_formerly_church,high
d8c1f7e6481d,,,City Of Plymouth,,,,50.369762,-4.173755,commercial,shop,"8, George Street",,,wikidata_formerly_church,high
20604df2bb96,,,Storrington And Sullington,,,,50.920205,-0.474467,unknown,unknown,Cootham Village Hall,,,wikidata_formerly_church,high
343809c0b944,,,Newcastle-Under-Lyme,,,,53.013345,-2.225218,commercial,office,Ebenezer House,,,wikidata_formerly_church,high
7aa558cb5f4c,,,Erewash,,,,52.894105,-1.27493,unknown,unknown,"St James' Church, Long Eaton",,,wikidata_formerly_church,high
9f005ff0a19a,,,Trowbridge,,,,51.32216,-2.21079,unknown,unknown,Conigre Unitarian Church,,,wikidata_formerly_church,high
084eee86fff1,,,Burton Bradstock,,,,50.703374,-2.725969,hospitality,pub,Burton Bradstock Library,,,wikidata_formerly_church,high
88edaed1c8d8,,,Hawkwell,,,,51.598771,0.659468,unknown,unknown,Emmanuel Church Hall,,,wikidata_formerly_church,high
3bb307d11fa1,,,Middleton And Smerrill,,,,53.166538,-1.709086,residential,residential_general,Chapel House,,,wikidata_formerly_church,high
241bf1065485,,,Chignall,,,,51.7608,0.417732,residential,residential_general,Former Church of St James,,,wikidata_formerly_church,high
e6fedb7accea,,,Brighton And Hove,,,,50.8266,-0.153018,unknown,unknown,"St Stephen's Church, Brighton",,,wikidata_formerly_church,high
b5187946d4db,,,London Borough Of Sutton,,,,51.359272,-0.142157,residential,residential_general,Castlemead Court,,,wikidata_formerly_church,high
bf78bcd81d61,,,Downham,,,,53.89180219,-2.325748565,unknown,unknown,Village Hall,,,wikidata_formerly_church,high
98c866307c2f,,,Hawes,,,,54.299206,-2.198335,unknown,unknown,Village Institute,,,wikidata_formerly_church,high
f0bdd8dfb139,,,Exeter,,,,50.73227238,-3.49313118,unknown,unknown,Whipton Community Centre,,,wikidata_formerly_church,high
4542c7a1d64c,,,Broad Clyst,,,,50.794071,-3.440052,unknown,unknown,Chapel Court,,,wikidata_formerly_church,high
c0bc85b1e572,,,City Of Nottingham,,,,52.95217454,-1.141592719,education,school,St Mary's School,,,wikidata_formerly_church,high
90bbd76a1621,,,Caistor,,,,53.49709776,-0.317882892,education,library,Caistor School Library,,,wikidata_formerly_church,high
ccef633845de,,,Sandleheath,,,,50.931806,-1.817979,unknown,unknown,Sandleheath Village Hall,,,wikidata_formerly_church,high
8d351365f41b,,,City Of Westminster,,,,51.52905,-0.19869,residential,residential_general,Simon Court,,,wikidata_formerly_church,high
f9ce660be0a2,,,Barnsley,,,,53.5507,-1.4852,unknown,unknown,Church of St George,,,wikidata_formerly_church,high
3062ebe29ce1,,,Southend-On-Sea,,,,51.550429,0.730204,unknown,unknown,St Edmund's Community Hall,,,wikidata_formerly_church,high
24ba9ee070ea,,,Sefton,,,,53.47202,-3.02037,residential,residential_general,Welsh Presbyterian Church,,,wikidata_formerly_church,high
02ece8d40c4d,,,Portland,,,,50.56106,-2.447714,commercial,shop,Conjurer's Lodge,,,wikidata_formerly_church,high
