id,church_name,former_denomination,address,city,local_authority,region,nation,latitude,longitude,conversion_type,conversion_subtype,current_name,year_converted,decade,source,source_url,confidence_score,notes,confidence_tier,_nation_sort
52b8333fe88b,,,"23 Rendezvous Street, Baptist Galleries, Folkestone, CT20 1EY",Folkestone,,,,51.08051922,1.181215858,hospitality,pub,The Samuel Peto,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26314290,0.95,Wikidata: http://www.wikidata.org/entity/Q26314290,high,5.0
5e5e9fa91cb9,,,,Wythall,,,,52.371966,-1.894451,unknown,unknown,"St Mary's Church, Wythall",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/St_Mary%27s_Church,_Wythall",0.95,Wikidata: http://www.wikidata.org/entity/Q7594461,high,5.0
1775dfceee2b,,,,Argyll And Bute,,,,55.444565,-5.6404544,unknown,unknown,"Old Parish Church, Kilmichael",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q56664687,0.95,Wikidata: http://www.wikidata.org/entity/Q56664687,high,5.0
a39702144a54,,,,Over Norton,,,,51.954377977,-1.539520466,residential,residential_general,St James,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q105083132,0.95,Wikidata: http://www.wikidata.org/entity/Q105083132,high,5.0
e69d343ee2d6,,,"Kings Place, Ramsgate, Kent, CT11 8NN, England",Ramsgate,,,,51.333328,1.420299,arts_culture,theatre,King's Theatre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q31940809,0.95,Wikidata: http://www.wikidata.org/entity/Q31940809,high,5.0
f13426f88aea,,,,Blairgowrie And Rattray,,,,56.5935,-3.34209,unknown,unknown,"Free Church, James Street, Blairgowrie",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17831304,0.95,Wikidata: http://www.wikidata.org/entity/Q17831304,high,5.0
09580658621c,,,"Gelliwastad Road, Pontypridd, Mid Glamorgan, CF37 2DP, Wales",Pontypridd,,,,51.604316,-3.3412317,unknown,unknown,Muni Arts Centre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q29501828,0.95,Wikidata: http://www.wikidata.org/entity/Q29501828,high,5.0
0cebc4df8c8f,,,,High Peak,,,,53.441218,-1.950553,unknown,unknown,RE North and Co Limited and attached railings and gate piers,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26664150,0.95,Wikidata: http://www.wikidata.org/entity/Q26664150 | Also in: wikidata_formerly_church,high,5.0
2629bd502b58,,,,Haversham-Cum-Little Linford,,,,52.076693,-0.782105,unknown,unknown,Ruins of Church of St Peter,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26418248,0.95,Wikidata: http://www.wikidata.org/entity/Q26418248,high,5.0
6ddee448b9e5,,,,Cheshire West And Chester,,,,53.196709,-2.882812,residential,residential_general,"St Barnabas' Church, Chester",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/St_Barnabas%27_Church,_Chester",0.95,Wikidata: http://www.wikidata.org/entity/Q16246210,high,5.0
1b3fac6919d7,,,"Lower Green Road, Pembury, Kent TN2 4DZ",Pembury,,,,51.14408,0.32264,unknown,unknown,St Anselm's Catholic Church,,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/St_Anselm%27s_Church,_Pembury",0.95,Wikidata: http://www.wikidata.org/entity/Q96419404,high,5.0
b026b0a4210a,,,,Manorbier,,,,51.655657,-4.810784,unknown,unknown,Jameston Community Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q99452233,0.95,Wikidata: http://www.wikidata.org/entity/Q99452233,high,5.0
269772dd4d04,,,"Lambeth Palace Road, London SE1 7LB",London Borough Of Lambeth,,,,51.495,-0.1202,arts_culture,museum,Garden Museum,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Garden_Museum,0.95,Wikidata: http://www.wikidata.org/entity/Q15221398,high,5.0
0746a29e50b7,,,,Liverpool,,,,53.428172,-2.958273,hospitality,pub,The Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q56181853,0.95,Wikidata: http://www.wikidata.org/entity/Q56181853,high,5.0
e07527bf957d,,,,Longtown,,,,51.955802,-2.988569,residential,residential_general,Church of St Peter,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26347201,0.95,Wikidata: http://www.wikidata.org/entity/Q26347201,high,5.0
630356413beb,,,,Tunbridge Wells,,,,51.1287,0.2616,commercial,gym,Vale Royal Methodist Church,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Vale_Royal_Methodist_Church,0.95,Wikidata: http://www.wikidata.org/entity/Q113245647,high,5.0
57361c1e8789,,,,Oxford,,,,51.749406,-1.271317,unknown,unknown,Osney Abbey,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Osney_Abbey,0.95,Wikidata: http://www.wikidata.org/entity/Q7107284,high,5.0
f2dd0335bda8,,,,Pentre,,,,51.647513,-3.4874788,unknown,unknown,Hebron Welsh Baptist Chapel,,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Hebron_Chapel,_Ton_Pentre",0.95,Wikidata: http://www.wikidata.org/entity/Q16993869,high,5.0
348305341598,,,,Foxhall,,,,52.04682,1.25022,hospitality,nightclub,All Saints Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q115609483,0.95,Wikidata: http://www.wikidata.org/entity/Q115609483,high,5.0
96f4c94e6a5e,,,,Tamworth,,,,52.5961,-1.68779,unknown,unknown,Dosthill Sunday School and Parish Room,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17532058,0.95,Wikidata: http://www.wikidata.org/entity/Q17532058,high,5.0
8a5e364ca18e,,,,Middlesbrough,,,,54.5803,-1.2368,unknown,unknown,Cathedral Church of Our Lady of Perpetual Succour,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q81807233,0.95,Wikidata: http://www.wikidata.org/entity/Q81807233,high,5.0
2ffc9f3a9259,,,,London Borough Of Southwark,,,,51.5019,-0.0783333,unknown,unknown,St John Horsleydown,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/St_John_Horsleydown,0.95,Wikidata: http://www.wikidata.org/entity/Q7593659,high,5.0
268d2ce696b4,,,"34 High Street, London, W3 6LJ, England",London Borough Of Ealing,,,,51.506892,-0.265212,arts_culture,theatre,Dominion Cinema,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26664901,0.95,Wikidata: http://www.wikidata.org/entity/Q26664901,high,5.0
024acb066b4b,,,,Great Budworth,,,,53.2945,-2.5047,residential,residential_general,"Methodist Church, Great Budworth",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Methodist_Church,_Great_Budworth",0.95,Wikidata: http://www.wikidata.org/entity/Q6823745,high,5.0
